namespace,key,label::fr,label::en,label_one::fr,label_one::en
tripsIntro,outOfTerritoryChoiceNo_hotelForWork,"Non, {{nickname}} est rest{{gender:é/ée/é(e)}} en voyage pour le travail jusqu’au lendemain","No, {{nickname}} stayed away for work until the next day","Non, je suis rest{{gender:é/ée/é(e)}} en voyage pour le travail jusqu’au lendemain","No, I stayed away for work until the next day"
tripsIntro,outOfTerritoryChoiceNo_hotelForVacation,"Non, {{nickname}} est rest{{gender:é/ée/é(e)}} en vacances jusqu’au lendemain","No, {{nickname}} stayed on vacation until the next day","Non, je suis rest{{gender:é/ée/é(e)}} en vacances jusqu’au lendemain","No, I stayed on vacation until the next day"
tripsIntro,outOfTerritoryChoiceYes,"Oui, {{nickname}} est reven{{gender:u/ue/u(e)}} au domicile avant le lendemain","Yes, {{nickname}} returned home before the next day","Oui, je suis reven{{gender:u/ue/u(e)}} au domicile avant le lendemain","Yes, I returned home before the next day"
tripsIntro,outOfTerritoryMembersChoiceNone,{{nickname}} était seul{{gender:/e/(e)}},{{nickname}} was alone,J'étais seul{{gender:/e/(e)}},I was alone
tripsIntro,errors.personOutOfTerritoryMembersRequired,Vous devez sélectionner au moins une réponse,You must select at least one answer,,
tripsIntro,errors.selectNoneSingleChoice,Vous ne pouvez sélectionner des membres du ménage et l'option d'être seul en même temps,You cannot select other household members and the option to be alone at the same time,,
end,errors.inputRangeMustBePositiveOrZero,Veuillez placer le bouton à l'intérieur de la plage de réponse.,Make sure your slider button is inside the range.,,
segments,mode.Walk,**Marche**,**Walking**,,
segments,mode.Bicycle,**Vélo**,**Bicycle**,,
segments,mode.BicycleElectric,**Vélo électrique**,**E-Bike** (electric bicycle),,
segments,mode.KickScooterElectric,**Trottinette électrique**,**E-Scooter** (electric scooter),,
segments,mode.Wheelchair,**Chaise roulante**,**Wheelchair**,,
segments,mode.MobilityScooter,**Quadriporteur/triporteur**,**Mobility scooter**,,
segments,mode.TransitRRT,**Métro**,**Metro** (subway),,
segments,mode.TransitLRRT,**REM**,**REM**,,
segments,mode.TransitRegionalRail,**Train de banlieue** (exo),**Commuter train** (exo),,
segments,mode.TransitStreetCar,**Tramway**,**Tram**,,
segments,mode.TransitBus,**Bus** (transport collectif),**Bus** (public transit),,
segments,mode.TransitTaxi,**Taxi collectif** / Transport à la demande,**Taxibus** / On-demand transport,,
segments,mode.IntercityBus,"**Bus interurbain** (Orléans, Kéolis, etc.)","**Intercity bus** (Orleans, Keolis, etc.)",,
segments,mode.SchoolBus,**Autobus scolaire** (jaune),**School bus** (yellow),,
segments,mode.OtherBus,**Bus nolisé** ou privé,**Chartered** or private **bus**,,
segments,mode.CarDriverRental,"**Voiture louée** (Hertz, Enterprise, Budget, Avis, etc.)","**Rental car** (Hertz, Enterprise, Budget, Avis, etc.)",,
segments,mode.CarDriver,"**Voiture personnelle** (appartenant à soi, un.e ami.e, la famille, etc.)","**Personal car** (can belong to self, friend, family, etc)",,
segments,mode.CarDriverCarsharing,**Autopartage** (ex. Communauto),**Carsharing** (ex. Communauto),,
segments,mode.Motorcycle,**Moto** (ou scooter),**Motorcycle** (or motorized scooter/moped),,
segments,mode.TransitFerry,**Traversier ou navette fluviale** sans véhicule,**Ferry or river shuttle** without vehicle,,
segments,mode.FerryWithCar,**Traversier avec véhicule**,**Ferry with vehicles**,,
segments,mode.IntercityTrain,**Train interurbain** (VIA Rail),**Intercity train** (VIA Rail),,
segments,mode.CarPassenger,**Passager** (voiture/moto/scooter),**Passenger** (car/motorcycle/moped),,
segments,mode.OtherActiveMode,"Autre mobilité active (course, trottinette, skateboard)","Other active modes (running, scooter, skateboard)",,
segments,mode.Paratransit,**Transport adapté**,**Paratransit**,,
segments,mode.Plane,**Avion**,**Airplane**,,
segments,mode.Other,**Autre**,**Other**,,
segments,mode.Taxi,**Taxi** ou équivalent (ex. Uber),**Taxi** or equivalent (eg. Uber),,
segments,mode.DontKnow,**Je ne sais pas** / Préfère ne pas répondre,**I don't know** / Prefer not to answer,,
segments,mode.CarDriver_workOnTheRoad,Conducteur (véhicule personnel),Driver (personal vehicle),,
segments,mode.CarDriverProfesionnal_workOnTheRoad,Conducteur (véhicule de travail ou commercial),Driver (work or commercial vehicle),,
segments,mode.CarPassenger_workOnTheRoad,"Passager (de véhicule personnel, de travail ou commercial)","Passenger (in a personal, work, or commercial vehicle)",,
segments,mode.Transit_workOnTheRoad,"Transport en commun (bus, métro, REM, train de banlieue, ...)","Public transit (bus, metro, REM, commuter train, etc.)",,
segments,mode.Walk_workOnTheRoad,Marche,Walking,,
segments,mode.Bicycle_workOnTheRoad,Vélo ou vélo électrique,Bicycle or electric bicycle,,
segments,mode.Walk_leisureStroll,Marche,Walking,,
segments,mode.Bicycle_leisureStroll,Vélo ou vélo électrique,Bicycle or electric bicycle,,
segments,mode.OtherActiveMode_leisureStroll,"Autre mobilité active (course, trottinette, skateboard)","Other active modes (running, scooter, skateboard)",,
segments,mode.CarDriver_leisureStroll,Auto en tant que conducteur,Car as driver,,
segments,mode.CarPassenger_leisureStroll,Auto en tant que passager,Car as passenger,,
segments,mode.Transit_leisureStroll,Transport en commun,Public transit,,
segments,errors.trainStationsIncoherent,La ou les station(s) de transfert semblent incohérentes pour ce déplacement,The transfer station(s) do not seem coherent for this trip,,
travelBehavior,personHasSchoolPlace_schoolchildcare,"Est-ce que {{nickname}} fréquente un établissement scolaire, une garderie ou CPE?","Does {{nickname}} attend a school, daycare or CPE?",,
travelBehavior,workCommutingHelpPopup.title,Pourquoi cette question?,Why this question?,,
travelBehavior,workCommutingHelpPopup.content,"**Pourquoi cette question?**
Inspirée du Recensement de Statistique Canada, cette question permet de comparer les modes de navettage entre enquêtes.","**Why this question?**
Inspired by Statistics Canada’s Census, this question allows for comparison of commuting modes across surveys.",,
travelBehavior,personUsualWorkPlaceCommuting_onTheRoadWithUsualPlace,"Quel moyen de transport utilise habituellement {{nickname}} pour** se rendre à son lieu de travail?** 
__Si plusieurs modes sont utilisés, indiquer le mode qui représente la plus grande partie de la distance parcourue.
Si {{nickname}} fréquente plusieurs lieux, répondre en fonction du lieu le plus fréquemment visité.
Répondre le mode utilisé en quittant le domicile, pas celui utilisé pour les livraisons, tournées, patrouilles, visites chez clients.__","What mode of transportation does {{nickname}} usually use **to travel to their workplace?**
__If multiple modes are used, indicate the one that represents the largest share of distance traveled.
If {{nickname}} works at multiple locations, respond based on the location visited most frequently.
Answer the mode used when leaving home, not the one used for deliveries, rounds, patrols, or customer visits.__","Quel moyen de transport utilisez-vous habituellement pour** vous rendre à votre lieu de travail?** 
__Si plusieurs modes sont utilisés, indiquer le mode qui représente la plus grande partie de la distance parcourue.
Si vouz fréquentez plusieurs lieux, répondre en fonction du lieu le plus fréquemment visité.
Répondre le mode utilisé en quittant le domicile, pas celui utilisé pour les livraisons, tournées, patrouilles, visites chez clients.__","What mode of transportation do you usually use **to travel to your workplace?**
__If multiple modes are used, indicate the one that represents the largest share of distance traveled.
If you work at multiple locations, respond based on the location visited most frequently.
Answer the mode used when leaving home, not the one used for deliveries, rounds, patrols, or customer visits.__"
travelBehavior,personUsualWorkPlaceCommuting_onTheRoadWithoutUsualPlace,"Quel moyen de transport utilise habituellement {{nickname}} pour** se rendre à son lieu de travail?** 
__Si plusieurs modes sont utilisés, indiquer le mode qui représente la plus grande partie de la distance parcourue.
Si {{nickname}} fréquente plusieurs lieux, répondre en fonction du lieu le plus fréquemment visité.
Répondre le mode utilisé en quittant le domicile.__","What mode of transportation does {{nickname}} usually use **to travel to their workplace?**
__If multiple modes are used, indicate the one that represents the largest share of distance traveled.
If {{nickname}} works at multiple locations, respond based on the location visited most frequently.
Answer the mode used when leaving home.__","Quel moyen de transport utilisez-vous habituellement pour** vous rendre à votre lieu de travail?** 
__Si plusieurs modes sont utilisés, indiquer le mode qui représente la plus grande partie de la distance parcourue.
Si vouz fréquentez plusieurs lieux, répondre en fonction du lieu le plus fréquemment visité.
Répondre le mode utilisé en quittant le domicile.__","What mode of transportation do you usually use **to travel to your workplace?**
__If multiple modes are used, indicate the one that represents the largest share of distance traveled.
If you work at multiple locations, respond based on the location visited most frequently.
Answer the mode used when leaving home__"
